year,FX_annual,PPI_annual,GFC_factor
1980,,,-1.0574347110500761
1981,,,-0.8073474401900311
1982,,,-1.7889783253294935
1983,,,-0.6622277487757375
1984,,,-1.04783898204736
1985,,,-1.0550043967214118
1986,,,-0.8507426092989082
1987,,,-0.24813376436950754
1988,,,-0.539396892584924
1989,,,-0.22654494496702018
1990,,,-0.7321346527744925
1991,,,-0.6104885970521005
1992,,,-0.7652410504152766
1993,,,-0.40592380134304956
1994,25.160788,120.45,0.023219684689870415
1995,24.921394422310758,124.75833333333333,0.19998298986871524
1996,25.35869047619048,127.68333333333334,0.6724977864952771
1997,31.07215139442231,127.60000000000001,1.4907237400498945
1998,41.26234126984127,124.43333333333334,1.1632867507403482
1999,37.88713492063492,125.47500000000001,1.361842538696333
2000,40.209833333333336,132.74166666666667,1.2977674730944389
2001,44.531888,134.1916666666667,0.7455653316835509
2002,43.01920398406374,131.11666666666667,0.26371311185241786
2003,41.555896414342634,138.125,0.1994457364954166
2004,40.27108300395257,146.67499999999998,1.1739816948602404
2005,40.25160557768925,157.4,1.5016904495443404
2006,37.876254980079686,164.75,2.018379874544022
2007,32.20303149606299,172.65833333333333,2.3577137644604322
2008,32.962380952380954,189.59166666666667,0.713811362438717
2009,34.31043650793651,172.90833333333333,-1.103692795088741
2010,31.699720000000003,184.73333333333335,-0.02954839380535962
2011,30.46223107569721,201.04999999999998,0.21996853752435208
2012,31.054621513944223,202.15833333333333,-0.15724767046508084
2013,30.69629482071713,203.40833333333333,0.3071929258839856
2014,32.46148,205.3166666666667,0.5692481798060989
2015,34.24147410358566,190.4416666666667,0.013290660044170935
2016,35.263545816733064,185.375,-0.5116528761635711
2017,33.913373493975904,193.53333333333333,0.04909465931246151
2018,32.303453815261044,201.95000000000002,-0.09600180128821544
2019,31.04192771084337,199.84166666666667,-0.5815836446854035
2020,31.307,194.375,-1.2824495381863337
2021,32.005180722891566,227.34441666666666,0.15817144540160744
2022,35.04996,264.481,-0.6466427286131057
2023,34.784056224899594,255.72991666666667,-0.8337615793260952
2024,,,-0.5486893121995866
