sector_id,year,dva
B07_08,2006,784.292
B07_08,2007,935.125
B07_08,2008,1045.768
B07_08,2009,1007.227
B07_08,2010,1197.037
B07_08,2011,1420.09
B07_08,2012,1511.334
B07_08,2013,1595.662
B07_08,2014,1573.688
B07_08,2015,1628.296
B07_08,2016,1701.282
B07_08,2017,1887.111
B07_08,2018,2095.998
B07_08,2019,2243.813
B07_08,2020,2088.31
B07_08,2021,2094.473
B07_08,2022,2031.645
B08,1995,805.099
B08,1996,852.262
B08,1997,701.571
B08,1998,528.344
B08,1999,578.043
B08,2000,536.992
B08,2001,420.693
B08,2002,467.462
B08,2003,526.844
B08,2004,600.339
B08,2005,647.124
B08,2006,746.251
B08,2007,890.043
B08,2008,995.549
B08,2009,958.683
B08,2010,1140.211
B08,2011,1365.681
B08,2012,1453.525
B08,2013,1534.64
B08,2014,1513.635
B08,2015,1569.995
B08,2016,1639.799
B08,2017,1819.029
B08,2018,2020.382
B08,2019,2162.853
B08,2020,2013.586
B08,2021,2019.305
B08,2022,1958.622
B09,1995,982.145
B09,1996,1089.146
B09,1997,839.889
B09,1998,478.789
B09,1999,510.805
B09,2000,439.571
B09,2001,415.055
B09,2002,474.276
B09,2003,510.788
B09,2004,593.376
B09,2005,635.941
B09,2006,729.402
B09,2007,826.338
B09,2008,916.201
B09,2009,986.245
B09,2010,1054.146
B09,2011,1232.247
B09,2012,1253.121
B09,2013,1277.679
B09,2014,1246.395
B09,2015,1422.594
B09,2016,1747.1
B09,2017,1757.757
B09,2018,1811.143
B09,2019,1960.144
B09,2020,1856.073
B09,2021,1968.453
B09,2022,1823.626
BTE,1995,46171.12
BTE,1996,52478.488
BTE,1997,46210.753
BTE,1998,36707.643
BTE,1999,40775.299
BTE,2000,40326.674
BTE,2001,37849.901
BTE,2002,42226.66
BTE,2003,48771.287
BTE,2004,54468.412
BTE,2005,60199.078
BTE,2006,72068.925
BTE,2007,86371.413
BTE,2008,96007.46
BTE,2009,91290.269
BTE,2010,113321.745
BTE,2011,119480.609
BTE,2012,125534.712
BTE,2013,131269.239
BTE,2014,127684.438
BTE,2015,123881.169
BTE,2016,125941.539
BTE,2017,138157.878
BTE,2018,153043.215
BTE,2019,160018.213
BTE,2020,146335.212
BTE,2021,154446.23
BTE,2022,152256.927
C,1995,39488.217
C,1996,45403.446
C,1997,39642.036
C,1998,31245.939
C,1999,35115.101
C,2000,34084.684
C,2001,31696.691
C,2002,35542.003
C,2003,41144.548
C,2004,45690.6
C,2005,50166.465
C,2006,60178.755
C,2007,72509.093
C,2008,79975.682
C,2009,75519.114
C,2010,94561.308
C,2011,98557.105
C,2012,102227.199
C,2013,106635.07
C,2014,103524.543
C,2015,101439.519
C,2016,104246.873
C,2017,114868.839
C,2018,126840.897
C,2019,131907.163
C,2020,122081.487
C,2021,129432.081
C,2022,126300.312
C10T12,1995,7292.366
C10T12,1996,9107.695
C10T12,1997,8425.323
C10T12,1998,7159.854
C10T12,1999,8355.99
C10T12,2000,6837.158
C10T12,2001,6501.322
C10T12,2002,7345.832
C10T12,2003,8744.952
C10T12,2004,9419.883
C10T12,2005,9412.44
C10T12,2006,11791.405
C10T12,2007,13526.555
C10T12,2008,15606.792
C10T12,2009,16361.294
C10T12,2010,19665.097
C10T12,2011,22444.816
C10T12,2012,21964.378
C10T12,2013,22900.986
C10T12,2014,22333.509
C10T12,2015,21815.667
C10T12,2016,22926.464
C10T12,2017,23738.364
C10T12,2018,25460.902
C10T12,2019,26959.999
C10T12,2020,26616.134
C10T12,2021,27682.666
C10T12,2022,26651.593
C13T15,1995,6961.513
C13T15,1996,7300.451
C13T15,1997,6240.248
C13T15,1998,4716.288
C13T15,1999,5370.22
C13T15,2000,5450.209
C13T15,2001,5073.625
C13T15,2002,5329.977
C13T15,2003,5641.244
C13T15,2004,6167.749
C13T15,2005,6316.254
C13T15,2006,6745.317
C13T15,2007,6964.692
C13T15,2008,7255.615
C13T15,2009,6271.241
C13T15,2010,7874.082
C13T15,2011,7559.691
C13T15,2012,7085.081
C13T15,2013,7294.384
C13T15,2014,7096.407
C13T15,2015,6703.337
C13T15,2016,6591.242
C13T15,2017,7161.865
C13T15,2018,7752.799
C13T15,2019,8005.049
C13T15,2020,6739.07
C13T15,2021,6378.872
C13T15,2022,6240.923
C16,1995,670.0
C16,1996,667.88
C16,1997,500.805
C16,1998,324.03
C16,1999,353.588
C16,2000,382.286
C16,2001,375.884
C16,2002,413.65
C16,2003,450.569
C16,2004,528.756
C16,2005,531.978
C16,2006,607.913
C16,2007,780.174
C16,2008,775.371
C16,2009,738.191
C16,2010,868.052
C16,2011,1045.623
C16,2012,1069.669
C16,2013,1121.196
C16,2014,1171.263
C16,2015,1098.654
C16,2016,1199.653
C16,2017,1268.636
C16,2018,1313.963
C16,2019,1406.889
C16,2020,1463.976
C16,2021,1549.354
C16,2022,1548.695
C16T18,1995,1443.931
C16T18,1996,1696.463
C16T18,1997,1452.623
C16T18,1998,1181.212
C16T18,1999,1322.149
C16T18,2000,1306.0
C16T18,2001,1259.035
C16T18,2002,1392.498
C16T18,2003,1519.633
C16T18,2004,1649.41
C16T18,2005,1711.265
C16T18,2006,1987.893
C16T18,2007,2364.525
C16T18,2008,2407.506
C16T18,2009,2264.832
C16T18,2010,2647.758
C16T18,2011,2943.841
C16T18,2012,2985.71
C16T18,2013,3014.139
C16T18,2014,3000.623
C16T18,2015,2789.979
C16T18,2016,2943.57
C16T18,2017,3158.133
C16T18,2018,3400.037
C16T18,2019,3550.731
C16T18,2020,3564.263
C16T18,2021,3730.853
C16T18,2022,3529.431
C17_18,1995,773.931
C17_18,1996,1028.583
C17_18,1997,951.818
C17_18,1998,857.182
C17_18,1999,968.561
C17_18,2000,923.715
C17_18,2001,883.152
C17_18,2002,978.849
C17_18,2003,1069.064
C17_18,2004,1120.653
C17_18,2005,1179.287
C17_18,2006,1379.98
C17_18,2007,1584.351
C17_18,2008,1632.136
C17_18,2009,1526.641
C17_18,2010,1779.706
C17_18,2011,1898.218
C17_18,2012,1916.04
C17_18,2013,1892.943
C17_18,2014,1829.359
C17_18,2015,1691.325
C17_18,2016,1743.917
C17_18,2017,1889.496
C17_18,2018,2086.074
C17_18,2019,2143.843
C17_18,2020,2100.288
C17_18,2021,2181.5
C17_18,2022,1980.737
C19,1995,2560.225
C19,1996,3184.14
C19,1997,3286.685
C19,1998,2809.182
C19,1999,2631.838
C19,2000,2450.926
C19,2001,2342.639
C19,2002,2409.786
C19,2003,2552.461
C19,2004,1792.918
C19,2005,2643.222
C19,2006,3983.996
C19,2007,5674.629
C19,2008,4853.16
C19,2009,4956.965
C19,2010,6494.184
