Date,STMT,PC,ME
1994-02-04,0.07445344536506647,NA,0.0793256323179709
1994-03-22,-0.02579331221033648,NA,-0.026739489834369884
1994-04-18,0.05921986328285856,NA,0.06355631676742678
1994-05-17,-0.019001819849045358,NA,-0.019106896143936517
1994-07-06,0.006799145119301971,NA,0.008699087530310928
1994-08-16,0.02599334884678662,NA,0.02875443519773338
1994-09-27,-0.010432777993635085,NA,-0.010069854948037884
1994-11-15,0.03139705153365394,NA,0.03438273403279922
1994-12-20,-0.017739533597506064,NA,-0.018256389563368933
1995-02-01,0.05004570758059022,NA,0.054388811026443544
1995-03-28,0.015919447950258733,NA,0.01793982490035944
1995-05-23,0.0012283029866889182,NA,0.0024144595336863172
1995-07-06,-0.1344919222917176,NA,-0.1417144741588364
1995-08-22,0.030836085803118238,NA,0.03375975229767581
1995-09-26,0.04171569992614001,NA,0.045537981966980334
1995-11-15,0.014580677825395905,NA,0.016247145681883852
1995-12-19,-0.030330250918932516,NA,-0.031390817524131594
1996-01-31,-0.013685139145293266,NA,-0.0133030708073068
1996-03-26,0.017332787339574274,NA,0.019314161527220586
1996-05-21,0.01611797231574024,NA,0.01814340409405551
1996-07-03,-0.007430765998540752,NA,-0.006797075019576431
1996-08-20,0.006006348526617371,NA,0.007425824160189382
1996-09-24,-0.06160213997895566,NA,-0.06468378938070489
1996-11-13,-0.001989130063403984,NA,-8.791609065966689e-4
1996-12-17,0.009695795578897827,NA,0.011105966784916205
1997-02-05,0.007363379255581997,NA,0.008707657368256336
1997-03-25,0.03938352853021351,NA,0.042895824688080224
1997-05-20,-0.034089805675937765,NA,-0.035385943754935506
1997-07-02,0.004358587260279482,NA,0.005794269537764155
1997-08-19,0.010285930041541515,NA,0.011970137934890693
1997-09-30,0.0027923256499213676,NA,0.004023164344400835
1997-11-12,-0.01734300847028147,NA,-0.017336112870230895
1997-12-16,0.009400194384650888,NA,0.010964415928264621
1998-02-04,0.0187135444935587,NA,0.02096800645043571
1998-03-31,0.0029404660390912104,NA,0.004111872421355444
1998-05-19,-0.005845173523131355,NA,-0.005147695654623393
1998-07-01,-0.017049141294104907,NA,-0.01703923172476621
1998-08-18,0.015150481655097714,NA,0.017123992414768797
1998-09-29,0.027620571179374855,NA,0.030781404430364707
