"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_C31T33",203.508,7.779,71.055,3.623,77.525,0.707,26.32,3.05,226.999,426.08,27.431,48.435,6.586,87.713,16.087,76.166,85.548,33.139,12.091,52.155,880.559,81.288,124.91,296.928,19.361,57.758,4059.55,138.075,36.62,345.546,309.184,205.027,77.668,244.124,18.085,8.27,237.109,24.051,29.92,12.842,51.51,22.52,83.714,103.901,140.593,379.092,152.298,56.24,109.524,0,6653.212,1.073,448.741,3659.356,828.325,0,494.517,13459.65,0,35343.142
"DOM_D",1478.805,20.46,219.379,45.997,734.669,8.607,238.578,7.955,2930.299,2315.131,217.635,761.662,134.685,1645.064,94.832,1418.431,1417.187,561.222,247.227,512.532,3801.322,431.052,540.67,1690.877,54.868,242.752,1359.294,6226.758,512.196,492.66,2921.14,1147.892,38.424,46.973,88.586,44.699,3435.895,171.16,262.84,54.346,211.461,317.453,226.069,276.642,812.431,1682.599,459.63,199.677,524.292,0,9222.034,1.388,396.687,0.112,2.058,0,0.023,292.777,0,53200.096
"DOM_E",99.265,0.795,11.438,1.362,15.364,0.25,6.323,0.629,169.409,68.853,8.388,60.256,4.037,47.373,5.006,35.543,40.084,86.55,41.503,20.27,103.512,14.588,21.977,46.822,2.232,13.943,55.959,51.956,204.434,48.672,139.171,27.861,7.202,2.959,4.376,2.28,246.094,4.664,2.631,1.388,11.897,22.334,15.222,15.248,135.434,166.729,37.239,12.589,34.279,0,826.149,7.161,580.513,0.245,0.002,0,0.017,0.391,0,3590.871
"DOM_F",221.406,16.356,36.507,4.124,34.393,0.478,12.756,3.229,78.203,63.865,10.178,15.022,4.754,32.417,3.543,38.048,51.222,14.172,8.094,44.392,148.105,28.222,40.151,85.496,7.334,16.269,224.44,255.514,101.482,5445.179,426.707,140.222,15.94,11.107,37.207,6.959,257.69,19.252,59.265,5.274,46.15,682.26,186.558,42.001,520.411,319.964,70.695,19.799,50.018,0,129.384,4.495,36.533,29749.095,0.004,0,0.031,0.512,0,39882.884
"DOM_G",3313.113,41.626,542.756,14.387,167.972,3.17,77.641,8.476,8154.25,3111.153,196.893,484.482,302.296,1969.767,324.564,1796.118,726.554,364.729,104.544,656.432,5148.194,703.008,924.032,2688.221,107.436,403.573,2511.722,661.148,65.119,2096.226,1586.221,2250.046,615.847,1276.065,54.482,36.351,3147.488,112.778,52.255,25.371,69.396,54.137,157.085,320.778,331.357,364.066,318.994,57.875,195.015,0,28686.982,9.632,611.105,8569.435,0.02,0,429.04,31507.056,0,118508.479
"DOM_H49",418.52,23.907,64.477,13.171,150.531,1.362,68.864,5.252,1203.731,405.859,87.139,124.409,220.043,338.859,34.64,285.124,324.463,111.509,36.834,171.903,1110.927,165.164,226.594,598.215,19.636,84.519,546.349,413.094,20.805,476.011,1308.828,1068.871,70.531,95.335,80.289,73.757,315.937,50.707,18.388,7.975,38.641,16.281,62.687,121.946,117.812,186.31,57.663,15.969,62.038,0,5074.691,1.63,355.737,1122.936,0,0,1224.732,5480.008,0,24781.608
"DOM_H50",94.759,2.708,19.571,1.371,34.203,0.16,6.305,0.554,238.094,109.791,12.814,29.692,190.014,124.903,10.862,92.163,59.56,42.641,16.381,65.08,375.478,58.041,77.208,174.949,10.924,30.276,142.242,284.131,3.09,130.518,92.183,54.417,260.923,25.973,9.149,1.213,74.253,6.694,2.901,1.121,2.263,2.929,8.601,14.801,12.353,14.017,9.678,2.017,7.267,0,834.019,0.298,23.227,353.822,0,0,1083.939,4750.335,0,10086.875
"DOM_H51",90.677,1.866,11.791,1.512,45.65,0.172,6.231,0.667,200.247,131.83,11.749,33.786,254.625,153.522,14.327,110.498,61.44,43.346,19.871,68.647,458.955,67.981,87.715,194.458,13.868,30.703,154.744,370.339,3.88,127.72,94.746,39.206,14.162,168.891,8.561,6.836,68.493,8.41,4.966,2.889,12.671,4.428,13.769,94.058,26.426,24.183,13.875,3.56,12.074,0,782.203,0.279,25.598,1192.131,0,0,694.849,6293.381,0,12383.463
"DOM_H52",70.54,4.368,32.324,3.259,28.97,0.328,9.806,1.613,244.722,94.166,19.667,28.949,19.856,58.326,7.415,46.534,45.667,13.049,5.279,25.929,191.067,31.912,38.636,174.43,3.144,18.037,111.873,39.611,5.23,70.388,897.772,607.726,436.923,696.069,162.118,19.111,55.458,9.015,9.681,3.561,8.007,2.785,16.707,47.948,34.845,13.636,4.257,4.719,11.565,0,179.642,2.841,4.817,78.333,0,0,2.967,484.753,0,5240.355
"DOM_H53",31.066,0.842,5.353,0.643,6.436,0.053,1.872,0.441,29.054,46.557,4.797,11.404,0.418,10.395,3.373,13.784,7.361,1.423,0.837,6.958,72.587,9.589,21.216,35.259,1.247,5.691,47.941,25.743,7.799,28.47,563.112,43.049,5.006,12.243,12.702,356.368,110.772,49.796,49.256,10.329,159.398,15.118,47.162,54.603,140.752,86.157,35.605,10.352,58.95,0,276.845,0,21.591,0.157,4.546,0,22.674,503.893,0,3089.046
