h,nobs,n_sectors,status,coef_pure_ME_shock_annual,se_pure_ME_shock_annual,p_pure_ME_shock_annual,coef_int_bl,se_int_bl,p_int_bl,coef_int_fl,se_int_fl,p_int_fl,coef_int_export,se_int_export,p_int_export,coef_int_import,se_int_import,p_int_import
0,1152,48,ok,0.10828068501587923,0.09552676497129432,0.25723783916833787,-0.023128124936584758,0.06220137907842098,0.710091086054035,-0.02915853365689006,0.02155315231183304,0.1763665845007878,-0.09597676151172038,0.12066658476759462,0.4265533724451325,0.11389997787629949,0.37452735419629574,0.7610945766309754
1,1104,48,ok,-0.016836723526877498,0.10735189592028646,0.8754024923541266,-0.13628665185919053,0.08853908404146382,0.1240250752723917,-0.011067421412534303,0.03247547415688308,0.7333248079051007,-0.18887866638731465,0.17390775071980552,0.27768090633661324,0.3439164513645576,0.455757125412066,0.4506489262939344
2,1056,48,ok,-0.037778370376889026,0.10859914828836686,0.728008047272847,-0.16188526537435785,0.12067061733864382,0.1800347607735111,0.009427939400934043,0.04355496578058503,0.8286709255506794,-0.1550181261734703,0.21123613580790987,0.46319775469731983,0.24374169612982577,0.5813550363363299,0.6751088784981205
3,1008,48,ok,-0.30287980179416363,0.1136690186660633,0.007833132213407756,-0.22015180876900126,0.19014581499034616,0.24722111376952083,0.05450073313250899,0.07026870602672723,0.4381665853148895,-0.2761098966532467,0.24807039230059397,0.2659639081384273,0.6113106803608978,0.9719980940152505,0.5295445368464171
4,960,48,ok,-0.3457320299755607,0.11167796005952056,0.002020520867186848,-0.042230213959420865,0.16157728524304646,0.793869882419552,0.05850977801562683,0.05871650723200775,0.3192716457434759,-0.17209787643617053,0.2039230339552077,0.3989183838289845,-0.01611388215127059,0.8070228729446141,0.984073843308285
5,912,48,ok,-0.3024430971917076,0.1278302007625335,0.01819366826231361,0.04264943216079753,0.13308889653628536,0.7486953773277418,0.01580178333561345,0.04413088275199284,0.7203776358972671,-0.26171915257080924,0.2146481958681712,0.22305226376121157,-0.37456743334426573,0.6055430198490364,0.5363597901094876
6,864,48,ok,-0.16804193803427442,0.11433381312815072,0.1419990675845373,0.1198304116440644,0.1027351395086062,0.24377857115700174,-0.030265167545066127,0.036490476334979496,0.4071109295626725,-0.57873893847855,0.22022690574877618,0.008745384951869717,-0.46835217663711187,0.5028878572915647,0.35194914454251425
