h,delta_bl,p_bl,se_bl,delta_fl,p_fl,se_fl,delta_export,p_export,se_export,delta_import,p_import,se_import
0,-0.0196533843024526,0.7837979464689679,0.07161330897918225,-0.02346535430058143,0.15409538021035174,0.01645352787487497,-0.05034090387937079,0.6741495078436208,0.1196973741943439,-0.08504674174629238,0.7962576561216612,0.3293147847501323
1,-0.12764632024333694,0.1491121724832145,0.08841669855006215,0.0040940829554321784,0.903133313955403,0.033631835582223844,-0.13582074474390393,0.36739797371919525,0.15062220973263665,-0.08432727013096855,0.8168004390251586,0.3639221582522244
2,-0.16256342151094413,0.13647648386053368,0.10908934086349162,0.022541825723505972,0.6289173915658415,0.046632449393740595,-0.15464380776581474,0.34656809268425937,0.1642192716742085,-0.13869718659300742,0.7448451722522687,0.4260660153795697
3,-0.2120635565673287,0.1923834525605257,0.16257035712745885,0.07874671044491378,0.3739687915803229,0.08853293506878068,-0.23231354996964684,0.15374562701099337,0.16274047301225772,0.06854469500371833,0.9227268297841933,0.7064718523779141
4,-0.08149930769109984,0.5545138180810074,0.13784948013441106,0.06555203455592662,0.32994249655834196,0.06725153827337958,-0.23789956830062517,0.11396946909935513,0.15037374913489657,-0.20438763988377087,0.734597389461864,0.6027075742645143
5,-0.03572286276669481,0.7718420916840274,0.123159670777682,0.018830231226786398,0.6542011329903485,0.04202402626197041,-0.36070579852256324,0.03176687510246934,0.16771767095384527,-0.6461522572950168,0.1571625664612497,0.4563687145121478
6,-0.004068327764113339,0.9716211521082223,0.1143253368516582,-0.018991983523576745,0.5313335661916345,0.030327661226571337,-0.6390122574094194,0.00017565699110289046,0.16957675016205423,-1.1383541951374323,0.0028698131072055766,0.38072143650365015
