sector_id,year,dva,pure_ME_shock_annual,STMT_annual,PC_annual,ME_volatility_annual,n_events,dummy_dotcom,dummy_gfc,dummy_taper,dummy_covid,PPI_annual,REER_annual,GDP_growth,REER_annual_lag1,PPI_annual_lag1,GDP_growth_lag1
A,1998,10303.243,-0.0415275119811816,-0.0036732129861814,0.0,0.0161415404159951,9,0,0,0,0,124.43333333333334,80.82000000000001,-7.63403528600102,94.89416666666666,127.6,-2.75357515314082
A,1999,9732.752,0.0262806147245603,0.0415498830452601,0.0,0.0167997539090286,8,0,0,0,0,125.475,83.83583333333333,4.57230775115542,80.82000000000001,124.43333333333334,-7.63403528600102
A,2000,9279.274,0.0110952748631805,0.0417648397552715,0.0,0.0038990415606282,8,1,0,0,0,132.74166666666667,80.37416666666667,4.45524704335014,83.83583333333333,125.475,4.57230775115542
A,2001,8844.774,-0.36316618773532,-0.4037006130657018,0.0,0.1207381097035459,11,1,0,0,0,134.1916666666667,76.655,3.44424900968372,80.37416666666667,132.74166666666667,4.45524704335014
A,2002,9947.338,-0.0347372128521624,-0.0420973305239812,0.0,0.0091177402757064,8,0,0,0,0,131.11666666666667,78.81166666666667,6.14903605210036,76.655,134.1916666666667,3.44424900968372
A,2003,12125.478,0.0160879926007901,0.0500931031569554,0.0,0.014717257489701,8,0,0,0,0,138.125,77.1275,7.18924330340971,78.81166666666667,131.11666666666667,6.14903605210036
A,2004,13561.759,0.061740175128161,0.0727294487915669,0.0,0.0098693302661282,8,0,0,0,0,146.67499999999998,76.80583333333333,6.28934214285795,77.1275,138.125,7.18924330340971
A,2005,14703.105,0.0844262756451409,0.0788696509920035,0.0,0.0051619488783852,8,0,0,0,0,157.4,77.81750000000001,4.18763842884337,76.80583333333333,146.67499999999998,6.28934214285795
A,2006,17540.273,0.0731906908645808,0.0647344705033259,0.0,0.0051047627161277,8,0,0,0,0,164.75,84.3525,4.96781089246107,77.81750000000001,157.4,4.18763842884337
A,2007,20697.317,-0.067081924978477,-0.0329992926449306,0.0,0.0209184599565413,10,0,0,0,0,172.65833333333333,95.46583333333332,5.43515169050809,84.3525,164.75,4.96781089246107
A,2008,24692.492,-0.0312490902450573,-0.139401366046954,0.0,0.0588923362604011,11,0,1,0,0,189.59166666666667,89.85000000000001,1.72569884866334,95.46583333333332,172.65833333333333,5.43515169050809
A,2009,23171.97,-0.0222874120937323,-0.0105589566160345,0.0,0.0042015399378286,8,0,1,0,0,172.90833333333333,86.58833333333332,-0.690618232300579,89.85000000000001,189.59166666666667,1.72569884866334
A,2010,29968.908,-0.009139057669795,0.0098396495131374,0.0,0.0012101070476348,9,0,0,0,0,184.73333333333335,91.38083333333333,7.51339053261624,86.58833333333332,172.90833333333333,-0.690618232300579
A,2011,36250.499,0.024782044095492,0.0231588229956508,0.0064758616107711,0.003603478538882,8,0,0,0,0,201.05,90.56916666666666,0.840132083053334,91.38083333333333,184.73333333333335,7.51339053261624
