sector,BL,FL,bwd_norm,fwd_norm,va_multiplier_simple,va_multiplier_typeI
A01,0.3055557093284092,0.540281150167225,0.8757158415200732,1.548433714807812,0.802967354067603,1.446280433695283
A02,0.42591202896083086,0.13037885270788996,1.2206543666774745,0.37366288120244956,0.7131409586882946,1.6597441609945125
A03,0.43185734521883873,0.1248375397823838,1.2376935103459978,0.3577816020656551,0.7534321351128556,1.6148231183287902
B05,0.4324049579473389,0.0630257794284313,1.2392629562006332,0.1806304768152983,0.7555771454365495,1.630935085166928
B06,0.23601078533611325,0.4178370605991283,0.676401641922165,1.1975116876234366,0.6923778289305461,1.3158574988183107
B07,0.29827646791329593,0.0017884422240717467,0.8548536981306583,0.005125635487896303,0.8189253105413178,1.461580354747649
B08,0.3318625279480043,0.12512912813743818,0.9511105963940996,0.3586172877816417,0.7762982606986795,1.4644378908902116
B09,0.0695733134379724,0.21933171741832017,0.19939556311543336,0.628599805623626,0.9536657291300208,1.095818353669042
C10T12,0.5963249885783268,0.463115169529998,1.7090541045366245,1.327277737002726,0.752332619711892,1.8990584837333986
C13T15,0.6655955449253843,0.605714421942008,1.9075819725884329,1.735964010941402,0.4913638758196145,2.234887849389379
C16,0.4499792420604085,0.1486056103957469,1.2896304621294734,0.42590036183040547,0.6860257194305271,1.677634099581105
C17_18,0.4834188875310725,0.4291897805350506,1.3854677395210129,1.2300483295146296,0.5034918917716836,1.7665253296358756
C19,0.14736682170460366,1.4871223075497473,0.4223500210970758,4.262059333996934,0.5044939531418275,1.2010134903656862
C20,0.38887469053789947,0.3810244576978928,1.114506181601865,1.0920075895358725,0.5505794233650942,1.5452184143474492
C21,0.375349643103805,0.11154307575670484,1.0757436975972967,0.3196799649619188,0.6585261460637808,1.5703492234981165
C22,0.45854147015986274,0.3505557239362172,1.314169616714019,1.0046848787778182,0.5957366992018343,1.671051895307186
C23,0.4882281490862663,0.3968397377330327,1.399250975773261,1.137333829046464,0.5636117849020577,1.710590246336359
C24A,0.4004278095369711,0.30839790195574046,1.147617162734211,0.8838615021391341,0.461722195988329,1.5560848670912604
C24B,0.24298993233796046,0.009797832671574162,0.6964037214226533,0.028080369703838804,0.4479724991410985,1.339360106321785
C25,0.3050650924572934,0.22117659977223142,0.8743097445202906,0.633887197263638,0.47522616502716053,1.4477144768889614
C26,0.4812360843512631,0.2819738820426594,1.3792118743379311,0.8081308509744513,0.348504740549541,1.770440825391177
C27,0.26205333176782836,0.03000356340866328,0.7510389986055035,0.08598954291107254,0.5337483225787379,1.3907343745158383
C28,0.3365156110373335,0.037006382453991064,0.9644462286498046,0.10605946595970676,0.47503619492767907,1.479318577992003
C29,0.4304867823843251,0.09846976364935738,1.2337655078595764,0.2822121443189879,0.45899660829726335,1.6384935720992861
C301,0.3421024043250381,0.0661437483298785,0.9804578534893278,0.18956650607937464,0.554170393279753,1.5455220000917753
C302T309,0.4648252455742176,0.14191300146219837,1.3321787767686608,0.4067194940368077,0.44040975878433747,1.7090907380092248
C31T33,0.4591281807029108,0.358736141053577,1.3158511160323048,1.0281297716114663,0.4348623778302593,1.7324071253137499
D,0.2315260573837612,1.8833641231201155,0.663548511730572,5.397679531473587,0.37958186245388326,1.3138681357316533
E,0.38209391039753593,0.1133879500026823,1.0950726170979241,0.3249673333647734,0.7505718281674711,1.5170414014014626
F,0.49403358242956813,0.42066898439636025,1.4158892181310698,1.2056279180046805,0.5914331259984171,1.7730967660616654
G,0.1798982447468562,1.9508061656035303,0.515584353284509,5.590966919613073,0.8778485086154274,1.259244314014139
H49,0.5677109230186509,0.7220474444873105,1.6270468314407383,2.069371856465699,0.686128531136949,1.7432142786643683
H50,0.5073994413489792,0.4588301462919241,1.4541954714063785,1.3149969560639223,0.6799971900820022,1.7687915268699028
H51,0.5676805997677548,0.18878481079060852,1.6269599256806249,0.541053053176692,0.5459847818927391,1.7786916612855599
H52,0.21443843856817785,0.22785549833369537,0.6145757776797096,0.6530287714369202,0.8707145262542799,1.3193112032963523
H53,0.2573092011169821,0.20386014713594172,0.7374424260710928,0.5842586305912593,0.8758258893636721,1.3565619286316235
I,0.5135500089082702,0.719971532539122,1.471822860722222,2.0634223391661366,0.7497204083597944,1.8072286595927274
J58T60,0.5671665068388676,0.4383540625750123,1.6254865468233637,1.2563129572520444,0.5123957675875059,1.9575060890627367
J61,0.22900791810523982,0.24242709088659772,0.6563315807748327,0.6947906303882695,0.8465550206731584,1.308193476080033
J62_63,0.1640043294831707,0.06505164602728143,0.47003274696440744,0.1864365652609005,0.8818946340359295,1.2688398393299316
K,0.14158984854277237,1.263166819567917,0.4057933449839988,3.62020790516221,0.9174779349724357,1.2052446467585805
L,0.17560126627969944,0.03993542065338107,0.5032693089260498,0.11445402404949329,0.8914298396284829,1.2439942688236731
